id;id_ubigeo;id_departamento;id_provincia;id_distrito;desc_ubigeo;estado
1;000000;00;00;00; SIN DEFINIR;1
2;000100;00;01;00; SIN DEFINIR;1
3;000101;00;01;01; SIN DEFINIR;1
4;010000;01;00;00;AMAZONAS;1
5;010100;01;01;00;CHACHAPOYAS;1
6;010101;01;01;01;CHACHAPOYAS;1
7;010102;01;01;02;ASUNCION;1
8;010103;01;01;03;BALSAS;1
9;010104;01;01;04;CHETO;1
10;010105;01;01;05;CHILIQUIN;1
11;010106;01;01;06;CHUQUIBAMBA;1
12;010107;01;01;07;GRANADA;1
13;010108;01;01;08;HUANCAS;1
14;010109;01;01;09;LA JALCA;1
15;010110;01;01;10;LEIMEBAMBA;1
16;010111;01;01;11;LEVANTO;1
17;010112;01;01;12;MAGDALENA;1
18;010113;01;01;13;MARISCAL CASTILLA;1
19;010114;01;01;14;MOLINOPAMPA;1
20;010115;01;01;15;MONTEVIDEO;1
21;010116;01;01;16;OLLEROS;1
22;010117;01;01;17;QUINJALCA;1
23;010118;01;01;18;SAN FRANCISCO DE DAGUAS;1
24;010119;01;01;19;SAN ISIDRO DE MAINO;1
25;010120;01;01;20;SOLOCO;1
26;010121;01;01;21;SONCHE;1
27;010200;01;02;00;BAGUA;1
28;010201;01;02;01;BAGUA;1
29;010202;01;02;02;ARAMANGO;1
30;010203;01;02;03;COPALLIN;1
31;010204;01;02;04;EL PARCO;1
32;010205;01;02;05;IMAZA;1
33;010206;01;02;06;LA PECA;1
34;010300;01;03;00;BONGARA;1
35;010301;01;03;01;JUMBILLA;1
36;010302;01;03;02;CHISQUILLA;1
37;010303;01;03;03;CHURUJA;1
38;010304;01;03;04;COROSHA;1
39;010305;01;03;05;CUISPES;1
40;010306;01;03;06;FLORIDA;1
41;010307;01;03;07;JAZAN;1
42;010308;01;03;08;RECTA;1
43;010309;01;03;09;SAN CARLOS;1
44;010310;01;03;10;SHIPASBAMBA;1
45;010311;01;03;11;VALERA;1
46;010312;01;03;12;YAMBRASBAMBA;1
47;010400;01;04;00;CONDORCANQUI;1
48;010401;01;04;01;NIEVA;1
49;010402;01;04;02;EL CENEPA;1
50;010403;01;04;03;RIO SANTIAGO;1
51;010500;01;05;00;LUYA;1
52;010501;01;05;01;LAMUD;1
53;010502;01;05;02;CAMPORREDONDO;1
54;010503;01;05;03;COCABAMBA;1
55;010504;01;05;04;COLCAMAR;1
56;010505;01;05;05;CONILA;1
57;010506;01;05;06;INGUILPATA;1
58;010507;01;05;07;LONGUITA;1
59;010508;01;05;08;LONYA CHICO;1
60;010509;01;05;09;LUYA;1
61;010510;01;05;10;LUYA VIEJO;1
62;010511;01;05;11;MARIA;1
63;010512;01;05;12;OCALLI;1
64;010513;01;05;13;OCUMAL;1
65;010514;01;05;14;PISUQUIA;1
66;010515;01;05;15;PROVIDENCIA;1
67;010516;01;05;16;SAN CRISTOBAL;1
68;010517;01;05;17;SAN FRANCISCO DEL YESO;1
69;010518;01;05;18;SAN JERONIMO;1
70;010519;01;05;19;SAN JUAN DE LOPECANCHA;1
71;010520;01;05;20;SANTA CATALINA;1
72;010521;01;05;21;SANTO TOMAS;1
73;010522;01;05;22;TINGO;1
74;010523;01;05;23;TRITA;1
75;010600;01;06;00;RODRIGUEZ DE MENDOZA;1
76;010601;01;06;01;SAN NICOLAS;1
77;010602;01;06;02;CHIRIMOTO;1
78;010603;01;06;03;COCHAMAL;1
79;010604;01;06;04;HUAMBO;1
80;010605;01;06;05;LIMABAMBA;1
81;010606;01;06;06;LONGAR;1
82;010607;01;06;07;MARISCAL BENAVIDES;1
83;010608;01;06;08;MILPUC;1
84;010609;01;06;09;OMIA;1
85;010610;01;06;10;SANTA ROSA;1
86;010611;01;06;11;TOTORA;1
87;010612;01;06;12;VISTA ALEGRE;1
88;010700;01;07;00;UTCUBAMBA;1
89;010701;01;07;01;BAGUA GRANDE;1
90;010702;01;07;02;CAJARURO;1
91;010703;01;07;03;CUMBA;1
92;010704;01;07;04;EL MILAGRO;1
93;010705;01;07;05;JAMALCA;1
94;010706;01;07;06;LONYA GRANDE;1
95;010707;01;07;07;YAMON;1
96;020000;02;00;00;ANCASH;1
97;020100;02;01;00;HUARAZ;1
98;020101;02;01;01;HUARAZ;1
99;020102;02;01;02;COCHABAMBA;1
100;020103;02;01;03;COLCABAMBA;1
101;020104;02;01;04;HUANCHAY;1
102;020105;02;01;05;INDEPENDENCIA;1
103;020106;02;01;06;JANGAS;1
104;020107;02;01;07;LA LIBERTAD;1
105;020108;02;01;08;OLLEROS;1
106;020109;02;01;09;PAMPAS;1
107;020110;02;01;10;PARIACOTO;1
108;020111;02;01;11;PIRA;1
109;020112;02;01;12;TARICA;1
110;020200;02;02;00;AIJA;1
111;020201;02;02;01;AIJA;1
112;020202;02;02;02;CORIS;1
113;020203;02;02;03;HUACLLAN;1
114;020204;02;02;04;LA MERCED;1
115;020205;02;02;05;SUCCHA;1
116;020300;02;03;00;ANTONIO RAYMONDI;1
117;020301;02;03;01;LLAMELLIN;1
118;020302;02;03;02;ACZO;1
119;020303;02;03;03;CHACCHO;1
120;020304;02;03;04;CHINGAS;1
121;020305;02;03;05;MIRGAS;1
122;020306;02;03;06;SAN JUAN DE RONTOY;1
123;020400;02;04;00;ASUNCION;1
124;020401;02;04;01;CHACAS;1
125;020402;02;04;02;ACOCHACA;1
126;020500;02;05;00;BOLOGNESI;1
127;020501;02;05;01;CHIQUIAN;1
128;020502;02;05;02;ABELARDO PARDO LEZAMETA;1
129;020503;02;05;03;ANTONIO RAYMONDI;1
130;020504;02;05;04;AQUIA;1
131;020505;02;05;05;CAJACAY;1
132;020506;02;05;06;CANIS;1
133;020507;02;05;07;COLQUIOC;1
134;020508;02;05;08;HUALLANCA;1
135;020509;02;05;09;HUASTA;1
136;020510;02;05;10;HUAYLLACAYAN;1
137;020511;02;05;11;LA PRIMAVERA;1
138;020512;02;05;12;MANGAS;1
139;020513;02;05;13;PACLLON;1
140;020514;02;05;14;SAN MIGUEL DE CORPANQUI;1
141;020515;02;05;15;TICLLOS;1
142;020600;02;06;00;CARHUAZ;1
143;020601;02;06;01;CARHUAZ;1
144;020602;02;06;02;ACOPAMPA;1
145;020603;02;06;03;AMASHCA;1
146;020604;02;06;04;ANTA;1
147;020605;02;06;05;ATAQUERO;1
148;020606;02;06;06;MARCARA;1
149;020607;02;06;07;PARIAHUANCA;1
150;020608;02;06;08;SAN MIGUEL DE ACO;1
151;020609;02;06;09;SHILLA;1
152;020610;02;06;10;TINCO;1
153;020611;02;06;11;YUNGAR;1
154;020700;02;07;00;CARLOS FERMIN FITZCARRALD;1
155;020701;02;07;01;SAN LUIS;1
156;020702;02;07;02;SAN NICOLAS;1
157;020703;02;07;03;YAUYA;1
158;020800;02;08;00;CASMA;1
159;020801;02;08;01;CASMA;1
160;020802;02;08;02;BUENA VISTA ALTA;1
161;020803;02;08;03;COMANDANTE NOEL;1
162;020804;02;08;04;YAUTAN;1
163;020900;02;09;00;CORONGO;1
164;020901;02;09;01;CORONGO;1
165;020902;02;09;02;ACO;1
166;020903;02;09;03;BAMBAS;1
167;020904;02;09;04;CUSCA;1
168;020905;02;09;05;LA PAMPA;1
169;020906;02;09;06;YANAC;1
170;020907;02;09;07;YUPAN;1
171;021000;02;10;00;HUARI;1
172;021001;02;10;01;HUARI;1
173;021002;02;10;02;ANRA;1
174;021003;02;10;03;CAJAY;1
175;021004;02;10;04;CHAVIN DE HUANTAR;1
176;021005;02;10;05;HUACACHI;1
177;021006;02;10;06;HUACCHIS;1
178;021007;02;10;07;HUACHIS;1
179;021008;02;10;08;HUANTAR;1
180;021009;02;10;09;MASIN;1
181;021010;02;10;10;PAUCAS;1
182;021011;02;10;11;PONTO;1
183;021012;02;10;12;RAHUAPAMPA;1
184;021013;02;10;13;RAPAYAN;1
185;021014;02;10;14;SAN MARCOS;1
186;021015;02;10;15;SAN PEDRO DE CHANA;1
187;021016;02;10;16;UCO;1
188;021100;02;11;00;HUARMEY;1
189;021101;02;11;01;HUARMEY;1
190;021102;02;11;02;COCHAPETI;1
191;021103;02;11;03;CULEBRAS;1
192;021104;02;11;04;HUAYAN;1
193;021105;02;11;05;MALVAS;1
194;021200;02;12;00;HUAYLAS;1
195;021201;02;12;01;CARAZ;1
196;021202;02;12;02;HUALLANCA;1
197;021203;02;12;03;HUATA;1
198;021204;02;12;04;HUAYLAS;1
199;021205;02;12;05;MATO;1
200;021206;02;12;06;PAMPAROMAS;1
201;021207;02;12;07;PUEBLO LIBRE;1
202;021208;02;12;08;SANTA CRUZ;1
203;021209;02;12;09;SANTO TORIBIO;1
204;021210;02;12;10;YURACMARCA;1
205;021300;02;13;00;MARISCAL LUZURIAGA;1
206;021301;02;13;01;PISCOBAMBA;1
207;021302;02;13;02;CASCA;1
208;021303;02;13;03;ELEAZAR GUZMAN BARRON;1
209;021304;02;13;04;FIDEL OLIVAS ESCUDERO;1
210;021305;02;13;05;LLAMA;1
211;021306;02;13;06;LLUMPA;1
212;021307;02;13;07;LUCMA;1
213;021308;02;13;08;MUSGA;1
214;021400;02;14;00;OCROS;1
215;021401;02;14;01;OCROS;1
216;021402;02;14;02;ACAS;1
217;021403;02;14;03;CAJAMARQUILLA;1
218;021404;02;14;04;CARHUAPAMPA;1
219;021405;02;14;05;COCHAS;1
220;021406;02;14;06;CONGAS;1
221;021407;02;14;07;LLIPA;1
222;021408;02;14;08;SAN CRISTOBAL DE RAJAN;1
223;021409;02;14;09;SAN PEDRO;1
224;021410;02;14;10;SANTIAGO DE CHILCAS;1
225;021500;02;15;00;PALLASCA;1
226;021501;02;15;01;CABANA;1
227;021502;02;15;02;BOLOGNESI;1
228;021503;02;15;03;CONCHUCOS;1
229;021504;02;15;04;HUACASCHUQUE;1
230;021505;02;15;05;HUANDOVAL;1
231;021506;02;15;06;LACABAMBA;1
232;021507;02;15;07;LLAPO;1
233;021508;02;15;08;PALLASCA;1
234;021509;02;15;09;PAMPAS;1
235;021510;02;15;10;SANTA ROSA;1
236;021511;02;15;11;TAUCA;1
237;021600;02;16;00;POMABAMBA;1
238;021601;02;16;01;POMABAMBA;1
239;021602;02;16;02;HUAYLLAN;1
240;021603;02;16;03;PAROBAMBA;1
241;021604;02;16;04;QUINUABAMBA;1
242;021700;02;17;00;RECUAY;1
243;021701;02;17;01;RECUAY;1
244;021702;02;17;02;CATAC;1
245;021703;02;17;03;COTAPARACO;1
246;021704;02;17;04;HUAYLLAPAMPA;1
247;021705;02;17;05;LLACLLIN;1
248;021706;02;17;06;MARCA;1
249;021707;02;17;07;PAMPAS CHICO;1
250;021708;02;17;08;PARARIN;1
251;021709;02;17;09;TAPACOCHA;1
252;021710;02;17;10;TICAPAMPA;1
253;021800;02;18;00;SANTA;1
254;021801;02;18;01;CHIMBOTE;1
255;021802;02;18;02;CACERES DEL PERU;1
256;021803;02;18;03;COISHCO;1
257;021804;02;18;04;MACATE;1
258;021805;02;18;05;MORO;1
259;021806;02;18;06;NEPE A;1
260;021807;02;18;07;SAMANCO;1
261;021808;02;18;08;SANTA;1
262;021809;02;18;09;NUEVO CHIMBOTE;1
263;021900;02;19;00;SIHUAS;1
264;021901;02;19;01;SIHUAS;1
265;021902;02;19;02;ACOBAMBA;1
266;021903;02;19;03;ALFONSO UGARTE;1
267;021904;02;19;04;CASHAPAMPA;1
268;021905;02;19;05;CHINGALPO;1
269;021906;02;19;06;HUAYLLABAMBA;1
270;021907;02;19;07;QUICHES;1
271;021908;02;19;08;RAGASH;1
272;021909;02;19;09;SAN JUAN;1
273;021910;02;19;10;SICSIBAMBA;1
274;022000;02;20;00;YUNGAY;1
275;022001;02;20;01;YUNGAY;1
276;022002;02;20;02;CASCAPARA;1
277;022003;02;20;03;MANCOS;1
278;022004;02;20;04;MATACOTO;1
279;022005;02;20;05;QUILLO;1
280;022006;02;20;06;RANRAHIRCA;1
281;022007;02;20;07;SHUPLUY;1
282;022008;02;20;08;YANAMA;1
283;030000;03;00;00;APURIMAC;1
284;030100;03;01;00;ABANCAY;1
285;030101;03;01;01;ABANCAY;1
286;030102;03;01;02;CHACOCHE;1
287;030103;03;01;03;CIRCA;1
288;030104;03;01;04;CURAHUASI;1
289;030105;03;01;05;HUANIPACA;1
290;030106;03;01;06;LAMBRAMA;1
291;030107;03;01;07;PICHIRHUA;1
292;030108;03;01;08;SAN PEDRO DE CACHORA;1
293;030109;03;01;09;TAMBURCO;1
294;030200;03;02;00;ANDAHUAYLAS;1
295;030201;03;02;01;ANDAHUAYLAS;1
296;030202;03;02;02;ANDARAPA;1
297;030203;03;02;03;CHIARA;1
298;030204;03;02;04;HUANCARAMA;1
299;030205;03;02;05;HUANCARAY;1
300;030206;03;02;06;HUAYANA;1
301;030207;03;02;07;KISHUARA;1
302;030208;03;02;08;PACOBAMBA;1
303;030209;03;02;09;PACUCHA;1
304;030210;03;02;10;PAMPACHIRI;1
305;030211;03;02;11;POMACOCHA;1
306;030212;03;02;12;SAN ANTONIO DE CACHI;1
307;030213;03;02;13;SAN JERONIMO;1
308;030214;03;02;14;SAN MIGUEL DE CHACCRAMPA;1
309;030215;03;02;15;SANTA MARIA DE CHICMO;1
310;030216;03;02;16;TALAVERA;1
311;030217;03;02;17;TUMAY HUARACA;1
312;030218;03;02;18;TURPO;1
313;030219;03;02;19;KAQUIABAMBA;1
314;030300;03;03;00;ANTABAMBA;1
315;030301;03;03;01;ANTABAMBA;1
316;030302;03;03;02;EL ORO;1
317;030303;03;03;03;HUAQUIRCA;1
318;030304;03;03;04;JUAN ESPINOZA MEDRANO;1
319;030305;03;03;05;OROPESA;1
320;030306;03;03;06;PACHACONAS;1
321;030307;03;03;07;SABAINO;1
322;030400;03;04;00;AYMARAES;1
323;030401;03;04;01;CHALHUANCA;1
324;030402;03;04;02;CAPAYA;1
325;030403;03;04;03;CARAYBAMBA;1
326;030404;03;04;04;CHAPIMARCA;1
327;030405;03;04;05;COLCABAMBA;1
328;030406;03;04;06;COTARUSE;1
329;030407;03;04;07;HUAYLLO;1
330;030408;03;04;08;JUSTO APU SAHUARAURA;1
331;030409;03;04;09;LUCRE;1
332;030410;03;04;10;POCOHUANCA;1
333;030411;03;04;11;SAN JUAN DE CHAC A;1
334;030412;03;04;12;SA AYCA;1
335;030413;03;04;13;SORAYA;1
336;030414;03;04;14;TAPAIRIHUA;1
337;030415;03;04;15;TINTAY;1
338;030416;03;04;16;TORAYA;1
339;030417;03;04;17;YANACA;1
340;030500;03;05;00;COTABAMBAS;1
341;030501;03;05;01;TAMBOBAMBA;1
342;030502;03;05;02;COTABAMBAS;1
343;030503;03;05;03;COYLLURQUI;1
344;030504;03;05;04;HAQUIRA;1
345;030505;03;05;05;MARA;1
346;030506;03;05;06;CHALLHUAHUACHO;1
347;030600;03;06;00;CHINCHEROS;1
348;030601;03;06;01;CHINCHEROS;1
